统计周期,工厂ID,公司名称,所在地区,主营工艺,会员类型,主要使用角色,本周是否新增使用,本周是否回流,本周使用天数,本周会话次数,本周用户提问数,本周上传图纸数,本周主要使用场景,本周是否提出新需求,新需求摘要,本周是否出现问题,问题摘要,当前主分层,特殊价值标签,分层原因,下一步动作
2026-07-20 至 2026-07-26,1441542,上海庆骋实业有限公司/上海庆丞机械有限公司,上海,机加工、铸造,付费会员,销售/业务,否,否,6,18,31,21,成本报价,否,,否,,高价值/高活跃,高频提问、图纸大户、成本报价,本周使用6天，18次会话，提问31条，上传图纸21个,重点维护，沉淀案例
2026-07-20 至 2026-07-26,2990071,珠海市旭凯机械科技有限公司,珠海市,钣金、机加工、冲压,付费会员,销售/业务,否,否,4,5,28,44,成本报价,是,客户需求8000件,是,"这是一个新的图纸，客户要求透明阳极氧化，铝材，分别要求200 及400 的阶梯报价。客户给了一个1.05美金的目标价 [零件文件预处理上下文] 零件文件1：Cap V1.1 w_recess.STL 预处理结果：{""status"":""success"",""fileId"":""ac75",高价值/高活跃,图纸大户、成本报价、有新需求、需问题跟进,本周使用4天，5次会话，提问28条，上传图纸44个,优先排查问题并回访
2026-07-20 至 2026-07-26,2484116,江苏运亨金属制品有限公司,无锡,钣金、塑胶成型,付费会员,高管/负责人,否,否,6,15,27,131,成本报价,否,,否,,高价值/高活跃,图纸大户、成本报价,本周使用6天，15次会话，提问27条，上传图纸131个,重点维护，沉淀案例
2026-07-20 至 2026-07-26,2567570,佛山市烈喜金属制品有限公司,佛山市,机加工、铸造,付费会员,经理/主管,是,否,3,14,27,12,成本报价,是,"把这份报价优化 [零件文件预处理上下文] 零件文件1：报价单-附件-佛山市烈喜金属制品有限公司-20260721200138.xlsx 预处理结果：{""fileName"":""报价单-附件-佛山市烈喜金属制品有限公司-20260721200138.xlsx"",""fileType"":",否,,活跃用户,新使用、图纸大户、成本报价、有新需求,本周使用3天，14次会话，提问27条，上传图纸12个,记录需求并产品评估
2026-07-20 至 2026-07-26,1318998,上海盛晟机械有限公司,,机加工、弹簧与线成型,付费会员,销售/业务,否,否,4,11,27,20,成本报价,是,先按我厂设备能力判断能不能做,是,先按我厂设备能力判断能不能做；尺寸不对，请重新分析图纸尺寸,高价值/高活跃,图纸大户、成本报价、有新需求、需问题跟进,本周使用4天，11次会话，提问27条，上传图纸20个,优先排查问题并回访
2026-07-20 至 2026-07-26,2537960,宁波鄞州东彧五金制品有限公司,宁波,塑胶成型、冲压,付费会员,经理/主管,否,否,4,10,27,11,成本报价,否,,否,,活跃用户,图纸大户、成本报价,本周使用4天，10次会话，提问27条，上传图纸11个,常规维护，持续观察
2026-07-20 至 2026-07-26,3039306,博川电气有限公司,,钣金、冲压、表面处理、装配、电气产品、机加工,付费会员,未填写,否,否,4,6,26,14,成本报价,是,"Looking for 19"" Network Rack Cabinet Supplier 寻 19 英寸网络机柜供应商采购详细描述Hello, 您好：We are looking for a reliable supplier of 19-inch network rack c",否,,活跃用户,图纸大户、成本报价、有新需求,本周使用4天，6次会话，提问26条，上传图纸14个,记录需求并产品评估
2026-07-20 至 2026-07-26,2660420,阿特拉斯智能工程（江苏）有限公司,苏州,钣金、机加工、装配,付费会员,销售/业务,否,是,4,20,22,21,成本报价,否,,否,,高价值/高活跃,回流、图纸大户、成本报价,本周使用4天，20次会话，提问22条，上传图纸21个,回流用户回访，确认使用场景
2026-07-20 至 2026-07-26,2004989,东莞市钧益五金制品有限公司,镇江,机加工、CNC铣削或铣削加工、车削、钣金、焊接、五轴加工、折弯、四轴_镗铣床、走心机/自动车、车铣复合、管件加工、铸造,付费会员,销售/业务,否,否,5,3,21,52,成本报价,否,,否,,高价值/高活跃,图纸大户、成本报价,本周使用5天，3次会话，提问21条，上传图纸52个,重点维护，沉淀案例
2026-07-20 至 2026-07-26,2551757,深圳市鑫一品精密模型科技有限公司,东莞市,机加工、钣金、快速原型,付费会员,未填写,否,否,4,1,21,0,贸易合规,否,,否,,活跃用户,贸易合规,本周使用4天，1次会话，提问21条，上传图纸0个,常规维护，持续观察
2026-07-20 至 2026-07-26,2204290,苏州佳而益科技有限公司,苏州,机加工、钣金、铸造、泵 阀 接头、模具制造,付费会员,经理/主管,否,否,3,4,20,25,工程技术,否,,否,,高价值/高活跃,图纸大户、工程技术,本周使用3天，4次会话，提问20条，上传图纸25个,重点维护，沉淀案例
2026-07-20 至 2026-07-26,2864987,宝隆华（天津）机械制造有限公司,天津市,机加工,付费会员,经理/主管,否,否,2,3,20,5,工程技术,否,,是,那你一开始的推荐的就是错的，为什么一开始不能给我推荐正确的内容,活跃用户,工程技术、需问题跟进,本周使用2天，3次会话，提问20条，上传图纸5个,优先排查问题并回访
2026-07-20 至 2026-07-26,3029809,南通安柯尔金属制品有限公司/通州湾示范区丰进机械厂,,铸造、机加工、模具制造,付费会员,经理/主管,否,否,4,7,19,10,成本报价,否,,否,,活跃用户,图纸大户、成本报价,本周使用4天，7次会话，提问19条，上传图纸10个,常规维护，持续观察
2026-07-20 至 2026-07-26,1746815,深圳市鑫鸿基模具有限公司,深圳市,铸造、机加工,付费会员,经理/主管,否,是,3,4,19,19,成本报价,是,产品单价能不能再详细一点，比如压铸费、CNC费用，打毛刺费用、钻孔费、人工费、管理费、利润。而且这个小件需要20几块肯定不合理，太贵了，没有竞争力,是,产品单价能不能再详细一点，比如压铸费、CNC费用，打毛刺费用、钻孔费、人工费、管理费、利润。而且这个小件需要20几块肯定不合理，太贵了，没有竞争力,高价值/高活跃,回流、图纸大户、成本报价、有新需求、需问题跟进,本周使用3天，4次会话，提问19条，上传图纸19个,优先排查问题并回访
2026-07-20 至 2026-07-26,2855105,上海鼎自自动化设备有限公司,上海,机加工,付费会员,经理/主管,否,否,5,12,18,49,成本报价,否,,否,,高价值/高活跃,图纸大户、成本报价,本周使用5天，12次会话，提问18条，上传图纸49个,重点维护，沉淀案例
2026-07-20 至 2026-07-26,2448125,苏州华泰鑫模塑科技有限公司,昆山,塑胶成型、模具制造,付费会员,经理/主管,是,否,4,5,18,18,成本报价,否,,是,"帮我生成一份报价单 [零件文件预处理上下文] 零件文件1：Air Purifier V1(3).stl 预处理结果：{""status"":""success"",""fileId"":""a3408613"",""fileName"":""haizol-part-110616235755276384",高价值/高活跃,新使用、图纸大户、成本报价、需问题跟进,本周使用4天，5次会话，提问18条，上传图纸18个,优先排查问题并回访
2026-07-20 至 2026-07-26,2778626,上海艺畅汽车配件有限公司,上海,模具制造、装配、塑胶成型、铸造,付费会员,销售/业务,否,否,2,5,18,8,成本报价,否,,否,,活跃用户,成本报价,本周使用2天，5次会话，提问18条，上传图纸8个,常规维护，持续观察
2026-07-20 至 2026-07-26,2556192,湖州弘运科技有限公司,湖州,机加工,付费会员,销售/业务,否,否,1,17,17,17,成本报价,否,,否,,高价值/高活跃,图纸大户、成本报价,本周使用1天，17次会话，提问17条，上传图纸17个,重点维护，沉淀案例
2026-07-20 至 2026-07-26,1895753,东莞市协皇实业有限公司,东莞市,机加工、冲压、塑胶成型,付费会员,经理/主管,否,否,6,15,17,62,成本报价,否,,否,,高价值/高活跃,图纸大户、成本报价,本周使用6天，15次会话，提问17条，上传图纸62个,重点维护，沉淀案例
2026-07-20 至 2026-07-26,2228551,昆山辉业达机电科技有限公司,昆山,机加工、冲压,付费会员,经理/主管,否,否,4,5,17,16,成本报价,否,,否,,高价值/高活跃,图纸大户、成本报价,本周使用4天，5次会话，提问17条，上传图纸16个,重点维护，沉淀案例
2026-07-20 至 2026-07-26,2945213,苏州瑞煜翌模具有限公司,苏州,机加工、钣金,付费会员,经理/主管,是,否,2,2,17,42,成本报价,否,,否,,高价值/高活跃,新使用、图纸大户、成本报价,本周使用2天，2次会话，提问17条，上传图纸42个,新用户引导，推动二次使用
2026-07-20 至 2026-07-26,2875088,苏州嘉辉鸿精密机械有限公司,苏州,钣金、机加工,付费会员,其他,是,否,3,11,16,14,成本报价,是,"材质全为碳钢Q235,帮我重新核一下价格 [零件文件预处理上下文] 零件文件1：报价单-附件-供应商-20260723182320.xlsx 预处理结果：{""fileName"":""报价单-附件-供应商-20260723182320.xlsx"",""fileType"":""xlsx"",",是,"材质全为碳钢Q235,帮我重新核一下价格 [零件文件预处理上下文] 零件文件1：报价单-附件-供应商-20260723182320.xlsx 预处理结果：{""fileName"":""报价单-附件-供应商-20260723182320.xlsx"",""fileType"":""xlsx"",",活跃用户,新使用、图纸大户、成本报价、有新需求、需问题跟进,本周使用3天，11次会话，提问16条，上传图纸14个,优先排查问题并回访
2026-07-20 至 2026-07-26,3038790,昆山越美塑料科技有限公司,昆山,机加工,付费会员,销售/业务,否,否,5,11,16,12,成本报价,否,,是,根据图纸工艺 计算全部成本 机加工不能做的 我外协给其他人 [补充要求] 给我报价,高价值/高活跃,图纸大户、成本报价、需问题跟进,本周使用5天，11次会话，提问16条，上传图纸12个,优先排查问题并回访
2026-07-20 至 2026-07-26,1831482,宁波雷邦机械科技有限公司,宁波,塑胶成型、机加工、模具制造,付费会员,经理/主管,否,否,5,9,16,18,成本报价,是,按图纸技术和各项要求报价，模具要30万模次，总需求量在30万，模具成本和产品成本分开。；这是一个黑色件，评估下报价，总需求量30万，模具模次按30万来报。产品和模具价格及拆分,否,,高价值/高活跃,图纸大户、成本报价、有新需求,本周使用5天，9次会话，提问16条，上传图纸18个,记录需求并产品评估
2026-07-20 至 2026-07-26,1641189,无锡鼎邦科技有限公司,无锡,铸造、机加工,付费会员,经理/主管,否,否,3,8,16,9,成本报价,否,,否,,活跃用户,成本报价,本周使用3天，8次会话，提问16条，上传图纸9个,常规维护，持续观察
2026-07-20 至 2026-07-26,3023405,苏州栖阳精密机械有限公司,苏州,机加工,付费会员,未填写,否,是,2,4,15,20,成本报价,否,,否,,高价值/高活跃,回流、图纸大户、成本报价,本周使用2天，4次会话，提问15条，上传图纸20个,回流用户回访，确认使用场景
2026-07-20 至 2026-07-26,2955567,宁波市奉川机械制造有限公司,宁波,冲压、模具制造,付费会员,经理/主管,否,否,3,4,15,5,成本报价,否,,否,,活跃用户,成本报价,本周使用3天，4次会话，提问15条，上传图纸5个,常规维护，持续观察
2026-07-20 至 2026-07-26,2448091,江苏和超机械设备有限公司,,钣金、结构件、焊接、各类切割、折弯、其它、机加工,付费会员,高管/负责人,是,否,2,8,14,10,成本报价,否,,否,,活跃用户,新使用、图纸大户、成本报价,本周使用2天，8次会话，提问14条，上传图纸10个,新用户引导，推动二次使用
2026-07-20 至 2026-07-26,2804849,常州瑞璐塑业有限公司,常州,机加工、塑胶成型,付费会员,经理/主管,是,否,4,8,14,7,成本报价,否,,否,,活跃用户,新使用、成本报价,本周使用4天，8次会话，提问14条，上传图纸7个,新用户引导，推动二次使用
2026-07-20 至 2026-07-26,2879177,昆山吉士机精密机械有限公司,苏州,机加工、铸造,付费会员,经理/主管,是,否,3,7,14,8,成本报价,否,,否,,活跃用户,新使用、成本报价,本周使用3天，7次会话，提问14条，上传图纸8个,新用户引导，推动二次使用
2026-07-20 至 2026-07-26,2064210,衡水卓峰金属制品有限公司,衡水市,机加工,付费会员,销售/业务,否,否,4,9,13,9,成本报价,否,,否,,活跃用户,成本报价,本周使用4天，9次会话，提问13条，上传图纸9个,常规维护，持续观察
2026-07-20 至 2026-07-26,2569206,宁波海宏鑫唐机械有限公司,宁波,铸造、机加工,付费会员,经理/主管,否,否,3,7,13,7,成本报价,否,,否,,活跃用户,成本报价,本周使用3天，7次会话，提问13条，上传图纸7个,常规维护，持续观察
2026-07-20 至 2026-07-26,2440468,重庆蔚蓝精密机械有限公司/蔚蓝精密机械（嘉兴）有限公司,嘉兴,机加工,付费会员,其他,否,否,3,6,13,6,成本报价,否,,是,用津上S205A走心机加工10000件附件中的图纸产品，原材料直径为对边15的不锈钢六角材料，材料为25元/KG的单价，材料单支长度2500mm。走心机的切断刀为2.5mm宽，送料机尾料长度约200mm无法加工，只能当废屑8元/KG处理卖掉。零件不需要热处理钝化等工艺，那么给客户,活跃用户,成本报价、需问题跟进,本周使用3天，6次会话，提问13条，上传图纸6个,优先排查问题并回访
2026-07-20 至 2026-07-26,2438077,杭州简森五金制品有限公司,杭州,冲压、机加工、钣金,付费会员,销售/业务,否,否,4,3,13,18,成本报价,否,,否,,高价值/高活跃,图纸大户、成本报价,本周使用4天，3次会话，提问13条，上传图纸18个,重点维护，沉淀案例
2026-07-20 至 2026-07-26,2856064,上海真懿电气科技有限公司,上海,机加工、冲压、塑胶成型、装配,付费会员,经理/主管,否,是,1,1,13,8,成本报价,否,,否,,活跃用户,回流、成本报价,本周使用1天，1次会话，提问13条，上传图纸8个,回流用户回访，确认使用场景
2026-07-20 至 2026-07-26,2810821,成都日新模具有限公司,成都,机加工、塑胶成型,付费会员,经理/主管,是,否,3,6,12,23,成本报价,否,,否,,高价值/高活跃,新使用、图纸大户、成本报价,本周使用3天，6次会话，提问12条，上传图纸23个,新用户引导，推动二次使用
2026-07-20 至 2026-07-26,1639342,上海赑雕机械有限公司,上海,铸造、机加工,付费会员,经理/主管,否,否,1,3,12,17,成本报价,否,,否,,高价值/高活跃,图纸大户、成本报价,本周使用1天，3次会话，提问12条，上传图纸17个,重点维护，沉淀案例
2026-07-20 至 2026-07-26,2187793,沧州惠君五金制品有限公司,沧州市,冲压、钣金,付费会员,高管/负责人,否,否,4,9,11,11,成本报价,否,,否,,活跃用户,图纸大户、成本报价,本周使用4天，9次会话，提问11条，上传图纸11个,常规维护，持续观察
2026-07-20 至 2026-07-26,2363106,东莞市景特电子科技有限公司,东莞市,机加工、塑胶成型,付费会员,经理/主管,否,是,3,9,11,8,成本报价,否,,否,,活跃用户,回流、成本报价,本周使用3天，9次会话，提问11条，上传图纸8个,回流用户回访，确认使用场景
2026-07-20 至 2026-07-26,2461608,上海瀚仁精密机械有限公司,上海,钣金,付费会员,经理/主管,是,否,2,8,11,8,工程技术,否,,否,,活跃用户,新使用、工程技术,本周使用2天，8次会话，提问11条，上传图纸8个,新用户引导，推动二次使用
2026-07-20 至 2026-07-26,2850183,宁波锐源塑业有限公司,宁波,塑胶成型、模具制造,付费会员,经理/主管,否,否,2,7,11,9,成本报价,否,,否,,活跃用户,成本报价,本周使用2天，7次会话，提问11条，上传图纸9个,常规维护，持续观察
2026-07-20 至 2026-07-26,1725879,苏州永基精密五金制品有限公司,,紧固件&五金件、冲压,付费会员,销售/业务,否,否,3,6,11,8,成本报价,否,,否,,活跃用户,成本报价,本周使用3天，6次会话，提问11条，上传图纸8个,常规维护，持续观察
2026-07-20 至 2026-07-26,1915517,佛山市突新自动化设备科技有限公司,佛山市,钣金、机加工,付费会员,工程/技术,否,是,2,4,11,6,成本报价,否,,否,,活跃用户,回流、成本报价,本周使用2天，4次会话，提问11条，上传图纸6个,回流用户回访，确认使用场景
2026-07-20 至 2026-07-26,2006613,青岛宏展科技发展有限公司,青岛市,机加工、装配、铸造、锻造,付费会员,经理/主管,是,否,1,4,11,6,成本报价,否,,否,,活跃用户,新使用、成本报价,本周使用1天，4次会话，提问11条，上传图纸6个,新用户引导，推动二次使用
2026-07-20 至 2026-07-26,2559939,杭州步锐特橡塑制品有限公司,杭州,塑胶成型、挤出、紧固件&五金件、机加工、泵 阀 接头,付费会员,经理/主管,否,否,3,4,11,4,成本报价,否,,否,,活跃用户,成本报价,本周使用3天，4次会话，提问11条，上传图纸4个,常规维护，持续观察
2026-07-20 至 2026-07-26,2209245,杭州恒力模具机械厂,杭州,机加工,付费会员,经理/主管,否,否,2,3,11,6,成本报价,是,"翻译这张图纸，并给出报价和工程工艺建议 [零件文件预处理上下文] 零件文件1：YS-181 SPACER.pdf 预处理结果：{""status"":""success"",""fileId"":""0969fbab"",""fileName"":""haizol-part-3683300241519",否,,活跃用户,成本报价、有新需求,本周使用2天，3次会话，提问11条，上传图纸6个,记录需求并产品评估
2026-07-20 至 2026-07-26,1860295,佛山市玛杰五金塑料有限公司,佛山市,机加工、塑胶成型、钣金、模具制造,付费会员,经理/主管,否,否,2,3,11,4,工程技术,否,,是,询盘#336691，这个产品要怎么做，材质:环保/再生热塑性塑料。优先选用再生聚丙烯(PP);再生高密度聚乙烯(HDPE)或再生聚对苯二甲酸乙二醇酯(PET)/PETG也可接受;原生食品级聚丙烯仅在被再生材料无法满足要求时方可接受 。需含有再生成分(优先采用GRS认证)。请说明针,普通使用用户,工程技术、需问题跟进,本周使用2天，3次会话，提问11条，上传图纸4个,优先排查问题并回访
2026-07-20 至 2026-07-26,2594339,上海炯杰实业有限公司,上海,机加工、铸造、塑胶成型,付费会员,经理/主管,否,否,4,9,10,12,成本报价,否,,否,,活跃用户,图纸大户、成本报价,本周使用4天，9次会话，提问10条，上传图纸12个,常规维护，持续观察
2026-07-20 至 2026-07-26,1872794,海海智工业科技有限公司,杭州,机加工、铸造、钣金、冲压、塑胶成型、锻造、泵 阀 接头、五轴加工、车削、走心机/自动车、精密铸造、压铸、电气产品、CNC铣削或铣削加工、普通冲压、紧固件&五金件,付费会员,工程/技术,否,否,3,8,10,9,成本报价,否,,否,,活跃用户,成本报价,本周使用3天，8次会话，提问10条，上传图纸9个,常规维护，持续观察
2026-07-20 至 2026-07-26,2369649,珠海市旭佳机械设备有限公司,珠海市,机加工、钣金,付费会员,经理/主管,否,是,3,7,10,10,成本报价,否,,否,,活跃用户,回流、图纸大户、成本报价,本周使用3天，7次会话，提问10条，上传图纸10个,回流用户回访，确认使用场景
2026-07-20 至 2026-07-26,2998275,聊城金匠恒创机械有限公司,,机加工,付费会员,经理/主管,否,否,2,7,10,8,成本报价,否,,否,,活跃用户,成本报价,本周使用2天，7次会话，提问10条，上传图纸8个,常规维护，持续观察
